# time_s east_m north_m up_m qx qy qz qw
4884.33 0.00188648 -0.0036501 -0.006 0.141282 -0.0257558 0.929664 -0.339265
4884.53 -0.000330293 0.00230677 -0.015 -0.115945 0.144268 0.702438 0.687258
4884.73 -0.00121954 0.00240037 -0.015 -0.115789 0.0746186 -0.43713 0.888787
4884.93 -0.00110521 0.00163511 -0.017 0.00226148 0.0125026 -0.788679 0.614674
4885.13 -0.00121954 0.00240037 -0.017 -0.145003 0.0185523 -0.791625 0.593262
4885.33 -0.00165782 0.00278575 -0.017 -0.111382 0.13045 -0.675665 0.716975
4885.53 -0.000882898 0.00153601 -0.014 -0.0583897 0.0908978 -0.452484 0.885204
4885.73 -0.000438273 0.000478973 -0.013 -0.0985106 0.07423 0.776922 0.617396
4885.93 -0.00154984 0.00057807 -0.014 -0.0732446 -0.0188402 0.769564 0.634075
4886.13 -0.000882898 0.00230677 -0.013 -0.0870273 -0.0432461 -0.479476 0.872157
4886.33 -0.000997231 0.0017287 -0.015 -0.0267726 0.0715013 -0.750779 0.656126
4886.53 -0.000997231 0.00134332 -0.013 -0.0608507 0.0675576 -0.279642 0.955789
4886.73 -0.00110521 0.00163511 -0.011 -0.113292 0.0714792 0.427685 0.893947
4886.93 -0.00177215 0.00105704 -0.013 -0.082631 0.0288919 0.300203 0.94985
4887.13 -0.00132752 0.00144242 -0.014 0.00193791 0.0385932 0.946712 -0.319754
4887.33 -0.00121954 0.00153601 -0.011 -0.127596 0.0548607 -0.295127 0.945309
4887.53 0.00410326 -0.00461355 0.002 -0.0852511 0.0272993 0.794152 0.60109
4887.73 0.00332834 -0.00403548 0.003 -0.136188 0.0920478 -0.621284 0.76615
4887.93 0.00343632 -0.00442086 0.001 -0.246806 0.077398 -0.454584 0.85232
4888.13 0.00410326 -0.00451445 0.004 -0.0296171 0.0436348 -0.82983 0.555519
4888.33 0.00421759 -0.00451445 0.003 -0.168001 0.00164193 0.055451 0.984225
4888.53 0.00144186 0.00249946 -1.31813e-09 -0.0684366 0.191279 -0.406359 0.890843
4888.73 0.000997232 0.00192139 -1.92994e-10 -0.0566119 0.120053 0.187585 0.973239
4888.93 0.000666938 0.0018278 -1.88287e-10 -0.0806032 0.0617149 0.643357 0.758806
4889.13 0.000997232 0.0017287 -0.001 0.000927051 -0.0938744 0.944015 0.316263
4889.33 0.000222313 0.00192139 0.001 -0.196231 0.149544 -0.497352 0.831727
4889.53 0.00078127 0.00153601 -0.007 -0.105239 0.0831488 -0.105667 0.985315
4889.73 -3.92202e-10 0.00144242 -0.008 -0.0288253 -0.0167701 0.84883 0.527613
4889.93 -2.94118e-10 0.00153601 -0.009 0.0163269 -0.0691969 0.984316 0.161454
4890.13 -0.000438273 0.0017287 -0.007 -0.081336 0.159057 -0.702182 0.689221
4890.33 -0.000774918 0.00163511 -0.007 -0.151098 0.204393 -0.345004 0.903529
4890.54 -0.000774918 0.00230677 -0.009 -0.0329979 0.0250057 -0.514556 0.856457
4890.73 -0.00110521 0.00288484 -0.01 -0.012358 0.0172271 -0.798239 0.601967
4890.94 -0.00154984 0.00288484 -0.008 -0.174564 -0.00548016 -0.181002 0.967851
4891.14 -0.00210244 0.00220768 -0.012 0.0538405 -0.057681 0.821632 0.564531
4891.34 -0.00188013 0.00259306 -0.012 -0.114514 -0.134011 0.735061 0.654685
4891.53 0.00255342 -0.0036501 0.001 -0.125339 0.0621238 -0.599506 0.78805
4891.73 0.0026614 -0.00307753 -0.001 -0.0616775 -0.00510498 -0.278593 0.958413
4891.93 0.00233111 -0.00307753 0.001 -0.0423051 0.0835443 0.644922 0.758489
4892.13 0.0017785 -0.00336382 0.003 -0.0182826 0.0189581 0.999561 -0.0135775
4892.33 0.0017785 -0.00336382 1.19458e-10 -0.159766 0.0783555 -0.182077 0.967049
4892.53 0.00155619 0.00220768 -0.002 -0.0911577 0.0407281 0.917985 0.383843
4892.73 0.000997232 0.00269215 -0.002 -0.165341 0.039734 -0.81799 0.549524
4892.93 0.000666938 0.00240037 -0.001 0.206224 -0.113143 0.885738 -0.400173
4893.13 0.00121954 0.00355651 0.001 -0.0503394 -0.110303 0.915267 -0.384168
4893.33 0.000336645 0.00230677 -0.002 -0.0796837 -0.138641 0.412584 0.896774
4893.53 0.00332834 0.00269215 -1.73331e-10 0.0457588 0.00458543 0.755185 0.653897
4893.73 0.00210879 0.00432176 -8.12967e-10 -0.0485124 0.158934 0.146902 0.975093
4893.93 0.00288371 0.00317113 -0.001 -0.180446 0.0988327 -0.13392 0.9694
4894.13 0.00144186 0.00249946 -1.31813e-09 0.00369151 0.152326 -0.537247 0.829547
4894.33 0.00277573 0.00269215 -2.46462e-11 -0.08791 0.0185524 0.65857 0.747137
4894.53 0.00477019 -0.00413458 0.004 -0.0970092 0.0150226 0.98684 -0.128492
4894.73 0.00410326 -0.00394189 0.003 -0.28856 -0.0212819 -0.034545 0.956602
4894.93 0.00399528 -0.00432176 0.003 -0.266723 0.217647 -0.12291 0.930796
4895.13 0.00388094 -0.00384279 0.002 -0.180493 0.0839939 0.355587 0.913195
4895.33 0.00355065 -0.00384279 0.002 -0.17721 0.0720302 0.362647 0.912083
4895.53 0.0017785 0.00528521 -0.002 -0.220774 0.12271 -0.651537 0.715333
4895.73 0.000666938 0.0054779 -0.003 0.0775203 -0.0896587 0.95437 -0.2741
4895.93 0.000666938 0.00461355 -0.003 -0.0365938 -0.033653 0.970817 0.234611
4896.13 -0.000552606 0.00509252 -0.005 -0.161366 0.0513599 -0.292309 0.941211
4896.33 -0.00010798 0.00432176 -0.005 0.00821818 0.19888 -0.147358 0.968847
4896.54 0.00188648 0.00470714 -0.005 -0.113789 -0.0689714 0.396828 0.908197
4896.73 0.00166417 0.00470714 -0.003 -0.205189 -0.0100556 0.973375 -0.101678
4896.93 0.00111156 0.00489983 -0.003 -0.164467 -0.0550959 0.0371939 0.98414
4897.13 0.00121954 0.00345741 -0.005 -0.163637 0.0429468 -0.0225835 0.985327
4897.33 0.000336645 0.00489983 -0.005 -0.277661 0.132099 -0.585772 0.749883
4897.53 0.00487818 -0.00461355 -0.001 -0.157612 0.224045 -0.749442 0.602744
4897.73 0.00355065 -0.00451445 -0.002 -0.173078 0.0257675 -0.315853 0.932533
4897.94 0.00322036 -0.00422817 -0.003 -0.0351081 -0.0638293 0.950606 0.301731
4898.13 0.00299805 -0.00345741 -0.003 -0.212772 0.0231874 -0.41825 0.882755
4898.34 0.00221677 -0.00345741 -0.004 -0.295959 0.112434 0.107333 0.942468
4898.53 0.000222313 0.00499893 -0.005 -0.15347 0.156794 -0.391848 0.893486
4898.73 -0.000774918 0.00586328 -0.005 -0.0599629 -0.109317 0.990989 0.0489407
4898.93 -0.000774918 0.00634225 -0.005 -0.0575033 -0.0388939 0.646152 0.760045
4899.13 -0.000882898 0.00614956 -0.005 -0.239288 -0.0162276 -0.0495541 0.969548
4899.33 -0.000997231 0.00576418 -0.004 -0.181689 -0.142784 0.95609 0.180263
4899.53 0.000889251 -0.00153601 0.001 -0.291658 0.0227456 -0.502844 0.813367
4899.73 0.000336645 -0.000478973 0.003 -0.207589 0.163091 -0.537118 0.801132
4899.93 0.000997232 -0.00096345 0.004 -0.127424 0.146076 0.164542 0.967135
4900.14 0.000114333 -0.00096345 0.003 -0.258207 0.199009 -0.442915 0.835195
4900.33 0.000558958 -0.00163511 0.003 0.116475 -0.0361235 0.922559 -0.366079
4900.53 0.00421759 -0.00470714 0.001 -0.128423 -0.229111 -0.608779 0.748601
4900.73 0.0053228 -0.00499893 0.004 -0.0423783 -0.130663 0.989452 0.0459933
4900.93 0.00487818 -0.00432176 0.004 0.046115 -0.00613821 0.909639 0.412787
4901.14 0.00465586 -0.00442086 0.003 -0.115099 -0.0127056 0.991874 0.0526947
4901.34 0.00432557 -0.00403548 0.002 -0.220344 0.0327919 -0.131653 0.96594
4901.53 0.00421759 0.00115063 -0.007 -0.119603 0.135548 0.476974 0.860126
4901.73 0.00454788 0.00240037 -0.007 -0.0822794 0.205555 0.848634 -0.480414
4901.93 0.00399528 0.00144242 -0.01 0.159413 -0.0832029 0.963547 -0.198094
4902.13 0.00487818 0.00163511 -0.009 -0.0159242 0.0631277 0.995745 -0.0652168
4902.33 0.00399528 0.00230677 -0.006 0.0345997 -0.157503 0.975064 -0.152469
4902.53 0.00399528 0.000478973 -0.006 -0.0849991 0.0217179 0.84564 0.526494
4902.73 0.00388094 0.000478973 -0.006 -0.101616 0.0136333 0.884458 0.455218
4902.93 0.00399528 0.00115063 -0.005 -0.0110147 -0.15444 0.986862 0.0461519
4903.13 0.00343632 0.00105704 -0.005 -0.139497 -0.0278799 -0.839759 0.523993
4903.33 0.00421759 0.00153601 -0.007 -0.241447 0.153672 -0.584667 0.759113
4903.53 0.00255342 -0.00432176 -0.004 -0.231152 -0.0619269 -0.693547 0.679505
4903.73 0.00288371 -0.00461355 -0.007 -0.161442 0.0330587 0.986239 -0.0132696
4903.93 0.00299805 -0.00499893 -0.005 -0.120033 0.0311711 0.532243 0.837459
4904.13 0.00365863 -0.00461355 -0.006 -0.0951438 0.0709411 0.718582 0.685241
4904.34 0.00233111 -0.00413458 -0.004 0.0129605 -0.0456785 0.793131 0.607198
4904.53 0.00221678 0.00240037 -0.009 0.173977 -0.218224 0.941673 -0.188048
4904.73 0.00133388 0.00230677 -0.009 -0.0666 0.0173075 -0.463673 0.88333
4904.93 0.00277573 0.00278575 -0.011 0.0389053 -0.262588 -0.22905 0.93652
4905.13 0.0021088 0.00259306 -0.012 -0.085576 -0.0209518 0.873526 0.478737
4905.33 0.0017785 0.0036501 -0.009 -0.145302 0.0021867 -0.216809 0.965338
4905.53 0.000666939 0.00326472 -0.009 -0.224875 -0.0844334 0.887197 0.393933
4905.73 0.000889251 0.00384279 -0.012 -0.146831 -0.0570259 0.263307 0.951766
4905.93 0.000666938 0.00288484 -0.011 -0.1476 -0.0654258 0.986393 -0.031016
4906.13 0.00144186 0.00336382 -0.011 -0.00798819 -0.166926 0.290711 0.942104
4906.33 0.000336645 0.00249946 -0.013 0.0425237 -0.175524 0.979557 -0.0886109
