# time_s east_m north_m up_m qx qy qz qw
2532.93 -85.6157 -74.8914 2.45802 0.130316 0.78584 -0.439822 0.414765
2533.13 -86.3783 -75.3246 2.45203 -0.580192 0.674646 -0.128532 0.437847
2533.33 -87.1396 -75.7578 2.45105 0.867876 -0.341507 -0.0858563 0.350419
2533.53 -87.8995 -76.1926 2.44906 0.29015 -0.340389 -0.555367 0.701082
2533.73 -88.6626 -76.6243 2.45208 -0.660416 0.164387 0.67114 -0.293937
2533.93 -89.4226 -77.0593 2.46009 0.820639 -0.247937 -0.50456 -0.102463
2534.13 -90.179 -77.4958 2.45811 0.987682 0.14329 0.00648021 -0.0625337
2534.33 -90.9385 -77.9315 2.46113 0.548597 0.711337 0.411102 0.155036
2534.53 -91.6952 -78.3665 2.46014 0.36326 -0.522345 0.743331 0.206536
2534.73 -92.4515 -78.8028 2.46116 0.789002 -0.512788 -0.285461 0.181758
2534.93 -93.2165 -79.2358 2.47518 0.855194 -0.460985 -0.103055 -0.213342
2535.13 -93.9753 -79.668 2.48019 0.904418 -0.177136 -0.244146 -0.301734
2535.33 -94.7333 -80.1033 2.48021 -0.516808 -0.51304 -0.355852 0.58572
2535.53 -95.4957 -80.5386 2.48423 -0.606464 0.296204 -0.0874165 0.732682
2535.73 -96.2543 -80.9776 2.48224 -0.0975271 -0.549738 -0.593783 0.579394
2535.93 -97.0118 -81.4191 2.47626 -0.44786 0.0714571 -0.088158 0.886873
2536.13 -97.7738 -81.8575 2.47828 0.388299 0.206961 -0.452855 0.775444
2536.33 -98.5334 -82.3002 2.47429 0.61688 -0.143038 -0.191108 0.749984
2536.53 -99.294 -82.7395 2.47531 0.22093 -0.384001 -0.553189 0.705489
2536.73 -100.057 -83.1789 2.47533 0.233039 -0.017087 -0.666984 0.707484
2536.93 -100.82 -83.6129 2.47835 -0.280432 0.0746637 0.736364 0.611188
2537.13 -101.582 -84.0491 2.47937 0.854152 -0.330972 -0.400825 0.0148525
2537.33 -102.344 -84.4841 2.48338 0.304843 0.441402 -0.279719 0.796236
2537.53 -103.104 -84.9206 2.4814 0.147626 0.316953 0.875742 0.3329
2537.73 -103.86 -85.3534 2.47942 0.124185 0.133913 0.856678 -0.482439
2537.93 -104.612 -85.778 2.48244 0.0651409 0.258539 0.957031 0.114048
2538.13 -105.358 -86.1995 2.48646 0.760216 0.486718 -0.347799 0.253403
2538.33 -106.093 -86.614 2.48547 0.737176 -0.259571 -0.592639 0.194869
2538.53 -106.824 -87.0258 2.48149 0.518338 -0.31983 0.624098 -0.489424
2538.73 -107.549 -87.4266 2.48351 0.706296 0.0933283 -0.542822 0.444725
2538.93 -108.271 -87.8235 2.48553 0.0244265 0.336752 -0.68809 0.642288
2539.13 -108.995 -88.217 2.48354 -0.426669 0.375117 -0.613536 0.548466
2539.33 -109.723 -88.6055 2.48656 0.712617 -0.496907 -0.457421 0.189806
2539.53 -110.455 -88.9926 2.48758 0.594986 -0.198073 0.659644 -0.41428
2539.73 -111.191 -89.375 2.4826 0.496512 -0.158325 -0.684064 0.510358
2539.93 -111.935 -89.754 2.49362 0.222886 -0.130315 -0.772149 0.580625
2540.13 -112.679 -90.1291 2.49164 0.892468 -0.325114 0.0137666 0.312429
2540.33 -113.424 -90.4986 2.49265 0.393888 -0.722199 -0.0727293 0.563907
2540.53 -114.173 -90.8636 2.49067 -0.136078 -0.333366 -0.758846 0.54268
2540.73 -114.923 -91.2226 2.49769 -0.290361 0.0380489 -0.776 0.55863
2540.93 -115.675 -91.5784 2.49571 -0.419336 0.775016 0.433435 -0.188788
2541.13 -116.431 -91.9287 2.49973 -0.529884 0.565457 -0.519918 0.359397
2541.33 -117.185 -92.2765 2.49975 -0.22638 0.00157537 0.862369 -0.452846
2541.53 -117.942 -92.622 2.49477 0.28176 -0.514521 0.703073 -0.401954
2541.73 -118.699 -92.9616 2.49179 -0.526219 0.786052 0.279015 -0.165426
2541.93 -119.457 -93.2914 2.49581 -0.617338 0.722492 0.309951 -0.0287981
2542.13 -120.212 -93.6192 2.49782 -0.320997 0.726263 -0.603114 0.0758774
2542.33 -120.966 -93.9441 2.49484 -0.326447 0.781286 -0.270643 -0.458015
2542.53 -121.721 -94.261 2.49786 0.494893 -0.541811 -0.184147 0.653921
2542.73 -122.47 -94.5708 2.50188 -0.226139 0.676788 0.68254 -0.157981
2542.93 -123.212 -94.8759 2.5059 -0.602514 0.749454 0.213601 0.17225
2543.13 -123.959 -95.1737 2.50792 0.0362767 0.0641817 0.866517 -0.493672
2543.33 -124.7 -95.4653 2.51194 -0.569637 0.725448 -0.368271 0.116683
2543.53 -125.437 -95.7514 2.50996 -0.482494 0.851218 0.102003 -0.179507
2543.73 -126.174 -96.033 2.50398 -0.400776 0.735625 -0.504361 0.209413
2543.93 -126.911 -96.3048 2.50199 -0.558973 0.767472 -0.289078 -0.122353
2544.13 -127.642 -96.5725 2.49901 -0.185944 0.726065 -0.661772 0.017703
2544.33 -128.376 -96.835 2.49703 -0.415461 0.7244 -0.507621 0.212034
2544.53 -129.108 -97.0929 2.49405 -0.434186 0.869113 0.19681 -0.131876
2544.73 -129.838 -97.347 2.49007 -0.269895 0.681759 -0.552993 0.395675
2544.93 -130.563 -97.5952 2.48609 0.0795321 -0.385179 0.827384 -0.400933
2545.13 -131.29 -97.8362 2.48011 0.414877 -0.58527 0.66584 -0.204922
2545.33 -132.021 -98.0725 2.47513 -0.00353191 -0.156665 -0.787223 0.596426
2545.53 -132.745 -98.3022 2.47114 0.0291026 -0.459825 0.745118 -0.482197
2545.73 -133.467 -98.5238 2.46916 -0.440689 0.805904 0.363993 0.154342
2545.93 -134.192 -98.7419 2.46418 0.284819 0.376575 -0.451276 0.757245
2546.13 -134.915 -98.9526 2.4592 -0.511021 -0.400186 0.707637 0.279211
2546.33 -135.637 -99.1583 2.45322 -0.406494 -0.545934 0.655025 0.328116
2546.53 -136.358 -99.3576 2.44724 -0.365333 0.908723 0.0424128 0.197372
2546.73 -137.077 -99.5507 2.44326 0.242764 0.403485 -0.222853 0.853582
2546.93 -137.793 -99.7387 2.44027 0.274015 -0.0144034 0.844701 -0.459553
2547.13 -138.512 -99.9179 2.43729 -0.0748771 0.0608458 -0.122157 0.98781
2547.33 -139.235 -100.095 2.43231 0.154001 0.940272 0.288516 -0.0945076
2547.53 -139.956 -100.268 2.42733 -0.361178 -0.37186 0.365407 0.773142
2547.73 -140.678 -100.434 2.42135 -0.388523 -0.62458 -0.330634 0.591296
2547.93 -141.402 -100.594 2.40537 0.274026 -0.262737 -0.71929 0.581808
2548.13 -142.122 -100.749 2.40039 0.512763 0.531125 -0.431726 0.51826
2548.33 -142.843 -100.9 2.3964 0.348298 -0.104598 0.487778 0.793612
2548.53 -143.567 -101.046 2.39042 -0.241508 0.803457 -0.242132 0.487343
2548.73 -144.29 -101.183 2.38444 -0.284177 0.693296 -0.409176 0.520729
2548.93 -145.012 -101.315 2.37546 -0.049707 0.951036 0.214733 -0.21668
2549.13 -145.737 -101.442 2.36948 0.549788 0.672695 0.222416 -0.442433
2549.33 -146.463 -101.564 2.3635 0.525076 0.612518 0.582516 -0.0989526
2549.53 -147.188 -101.681 2.35852 -0.284559 0.326787 0.877973 -0.203468
2549.73 -147.914 -101.793 2.35253 -0.441812 0.626765 -0.477468 0.428943
2549.93 -148.642 -101.898 2.34455 -0.312395 0.571109 0.365513 0.665316
2550.13 -149.373 -102 2.33857 0.0827465 0.982502 -0.054899 0.157573
2550.33 -150.107 -102.097 2.33159 -0.0521619 -0.146248 -0.452606 0.878088
2550.53 -150.841 -102.192 2.32461 -0.187589 -0.458361 0.803438 -0.330458
2550.73 -151.578 -102.284 2.31863 0.257305 -0.519702 0.811337 -0.0737254
2550.93 -152.317 -102.371 2.31265 -0.680189 0.0499857 -0.109971 0.723015
2551.13 -153.056 -102.455 2.30967 -0.118406 0.445856 0.865844 0.193665
2551.33 -153.797 -102.536 2.30369 0.244052 -0.0514897 0.925845 0.283899
