# time_s bgx bgy bgz bax bay baz
2535.83 0 0 0 0 0 0
2535.93 0 0 0 0 0 0
2536.03 0 0 0 0 0 0
2536.13 0 0 0 0 0 0
2536.23 0 0 0 0 0 0
2536.33 0 0 0 0 0 0
2536.43 0 0 0 0 0 0
2536.53 0 0 0 0 0 0
2536.63 0 0 0 0 0 0
2536.73 0 0 0 0 0 0
2536.83 0 0 0 0 0 0
2536.93 0 0 0 0 0 0
2537.03 0 0 0 0 0 0
2537.13 0 0 0 0 0 0
2537.23 0 0 0 0 0 0
2537.33 0 0 0 0 0 0
2537.43 0 0 0 0 0 0
2537.53 0 0 0 0 0 0
2537.63 0 0 0 0 0 0
2537.73 0 0 0 0 0 0
2537.83 0 0 0 0 0 0
2537.93 0 0 0 0 0 0
2538.03 0 0 0 0 0 0
2538.13 0 0 0 0 0 0
2538.23 0 0 0 0 0 0
2538.33 0 0 0 0 0 0
2538.43 0 0 0 0 0 0
2538.53 0 0 0 0 0 0
2538.63 0 0 0 0 0 0
2538.73 0 0 0 0 0 0
2538.83 0 0 0 0 0 0
2538.93 0 0 0 0 0 0
2539.03 0 0 0 0 0 0
2539.13 0 0 0 0 0 0
2539.23 0 0 0 0 0 0
2539.33 0 0 0 0 0 0
2539.43 0 0 0 0 0 0
2539.53 0 0 0 0 0 0
2539.63 0 0 0 0 0 0
2539.73 0 0 0 0 0 0
2539.83 0 0 0 0 0 0
2539.93 0 0 0 0 0 0
2540.03 0 0 0 0 0 0
2540.13 0 0 0 0 0 0
2540.23 0 0 0 0 0 0
2540.33 0 0 0 0 0 0
2540.43 0 0 0 0 0 0
2540.53 0 0 0 0 0 0
2540.63 0 0 0 0 0 0
2540.73 0 0 0 0 0 0
2540.83 0 0 0 0 0 0
2540.93 0 0 0 0 0 0
2541.03 0 0 0 0 0 0
2541.13 0 0 0 0 0 0
2541.23 0 0 0 0 0 0
2541.33 0 0 0 0 0 0
2541.43 0 0 0 0 0 0
2541.53 0 0 0 0 0 0
2541.63 0 0 0 0 0 0
2541.73 0 0 0 0 0 0
2541.83 0 0 0 0 0 0
2541.93 0 0 0 0 0 0
2542.03 0 0 0 0 0 0
2542.13 0 0 0 0 0 0
2542.23 0 0 0 0 0 0
2542.33 0 0 0 0 0 0
2542.43 0 0 0 0 0 0
2542.53 0 0 0 0 0 0
2542.63 0 0 0 0 0 0
2542.73 0 0 0 0 0 0
2542.83 0 0 0 0 0 0
2542.93 0 0 0 0 0 0
2543.03 0 0 0 0 0 0
2543.13 0 0 0 0 0 0
2543.23 0 0 0 0 0 0
2543.33 0 0 0 0 0 0
2543.43 0 0 0 0 0 0
2543.53 0 0 0 0 0 0
2543.63 0 0 0 0 0 0
2543.73 0 0 0 0 0 0
2543.83 0 0 0 0 0 0
2543.93 0 0 0 0 0 0
2544.03 0 0 0 0 0 0
2544.13 0 0 0 0 0 0
2544.23 0 0 0 0 0 0
2544.33 0 0 0 0 0 0
2544.43 0 0 0 0 0 0
2544.53 0 0 0 0 0 0
2544.63 0 0 0 0 0 0
2544.73 0 0 0 0 0 0
2544.83 0 0 0 0 0 0
2544.93 0 0 0 0 0 0
2545.03 0 0 0 0 0 0
2545.13 0 0 0 0 0 0
2545.23 0 0 0 0 0 0
2545.33 0 0 0 0 0 0
2545.43 0 0 0 0 0 0
2545.53 0 0 0 0 0 0
2545.63 0 0 0 0 0 0
2545.73 0 0 0 0 0 0
2545.83 0 0 0 0 0 0
2545.93 0 0 0 0 0 0
2546.03 0 0 0 0 0 0
2546.13 0 0 0 0 0 0
2546.23 0 0 0 0 0 0
2546.33 0 0 0 0 0 0
2546.43 0 0 0 0 0 0
2546.53 0 0 0 0 0 0
2546.63 0 0 0 0 0 0
2546.73 0 0 0 0 0 0
2546.83 0 0 0 0 0 0
2546.93 0 0 0 0 0 0
2547.03 0 0 0 0 0 0
2547.13 0 0 0 0 0 0
2547.23 0 0 0 0 0 0
2547.33 0 0 0 0 0 0
2547.43 0 0 0 0 0 0
2547.53 0 0 0 0 0 0
2547.63 0 0 0 0 0 0
2547.73 0 0 0 0 0 0
2547.83 0 0 0 0 0 0
2547.93 0 0 0 0 0 0
2548.03 0 0 0 0 0 0
2548.13 0 0 0 0 0 0
2548.23 0 0 0 0 0 0
2548.33 0 0 0 0 0 0
2548.43 0 0 0 0 0 0
2548.53 0 0 0 0 0 0
2548.63 0 0 0 0 0 0
2548.73 0 0 0 0 0 0
2548.83 0 0 0 0 0 0
2548.93 0 0 0 0 0 0
2549.03 0 0 0 0 0 0
2549.13 0 0 0 0 0 0
2549.23 0 0 0 0 0 0
2549.33 0 0 0 0 0 0
2549.43 0 0 0 0 0 0
2549.53 0 0 0 0 0 0
2549.63 0 0 0 0 0 0
2549.73 0 0 0 0 0 0
2549.83 0 0 0 0 0 0
2549.93 0 0 0 0 0 0
2550.03 0 0 0 0 0 0
2550.13 0 0 0 0 0 0
2550.23 0 0 0 0 0 0
2550.33 0 0 0 0 0 0
2550.43 0 0 0 0 0 0
2550.53 0 0 0 0 0 0
2550.63 0 0 0 0 0 0
2550.73 0 0 0 0 0 0
2550.83 0 0 0 0 0 0
2550.93 0 0 0 0 0 0
2551.03 0 0 0 0 0 0
2551.13 0 0 0 0 0 0
2551.23 0 0 0 0 0 0
2551.33 0 0 0 0 0 0
2551.43 0 0 0 0 0 0
2551.53 0 0 0 0 0 0
2551.63 0 0 0 0 0 0
2551.73 0 0 0 0 0 0
2551.83 0 0 0 0 0 0
2551.93 0 0 0 0 0 0
2552.03 0 0 0 0 0 0
2552.13 0 0 0 0 0 0
2552.23 0 0 0 0 0 0
2552.33 0 0 0 0 0 0
2552.43 0 0 0 0 0 0
2552.53 0 0 0 0 0 0
2552.63 0 0 0 0 0 0
2552.73 0 0 0 0 0 0
2552.83 0 0 0 0 0 0
2552.93 0 0 0 0 0 0
2553.03 0 0 0 0 0 0
2553.13 0 0 0 0 0 0
2553.23 0 0 0 0 0 0
2553.33 0 0 0 0 0 0
2553.43 0 0 0 0 0 0
2553.53 0 0 0 0 0 0
2553.63 0 0 0 0 0 0
2553.73 0 0 0 0 0 0
2553.83 0 0 0 0 0 0
2553.93 0 0 0 0 0 0
2554.03 0 0 0 0 0 0
2554.13 0 0 0 0 0 0
2554.23 0 0 0 0 0 0
2554.33 0 0 0 0 0 0
2554.43 0 0 0 0 0 0
2554.53 0 0 0 0 0 0
2554.63 0 0 0 0 0 0
2554.73 0 0 0 0 0 0
2554.83 0 0 0 0 0 0
2554.93 0 0 0 0 0 0
2555.03 0 0 0 0 0 0
2555.13 0 0 0 0 0 0
2555.23 0 0 0 0 0 0
2555.33 0 0 0 0 0 0
2555.43 0 0 0 0 0 0
2555.53 0 0 0 0 0 0
2555.63 0 0 0 0 0 0
2555.73 0 0 0 0 0 0
2555.83 0 0 0 0 0 0
2555.93 0 0 0 0 0 0
2556.03 0 0 0 0 0 0
2556.13 0 0 0 0 0 0
2556.23 0 0 0 0 0 0
2556.33 0 0 0 0 0 0
2556.43 0 0 0 0 0 0
2556.53 0 0 0 0 0 0
2556.63 0 0 0 0 0 0
2556.73 0 0 0 0 0 0
2556.83 0 0 0 0 0 0
2556.93 0 0 0 0 0 0
2557.03 0 0 0 0 0 0
2557.13 0 0 0 0 0 0
2557.23 0 0 0 0 0 0
2557.33 0 0 0 0 0 0
2557.43 0 0 0 0 0 0
2557.53 0 0 0 0 0 0
2557.63 0 0 0 0 0 0
2557.73 0 0 0 0 0 0
2557.83 0 0 0 0 0 0
2557.93 0 0 0 0 0 0
2558.03 0 0 0 0 0 0
2558.13 0 0 0 0 0 0
2558.23 0 0 0 0 0 0
2558.33 0 0 0 0 0 0
2558.43 0 0 0 0 0 0
2558.53 0 0 0 0 0 0
2558.63 0 0 0 0 0 0
2558.73 0 0 0 0 0 0
2558.83 0 0 0 0 0 0
2558.93 0 0 0 0 0 0
2559.03 0 0 0 0 0 0
2559.13 0 0 0 0 0 0
2559.23 0 0 0 0 0 0
2559.33 0 0 0 0 0 0
2559.43 0 0 0 0 0 0
2559.53 0 0 0 0 0 0
2559.63 0 0 0 0 0 0
2559.73 0 0 0 0 0 0
2559.83 0 0 0 0 0 0
2559.93 0 0 0 0 0 0
2560.03 0 0 0 0 0 0
2560.13 0 0 0 0 0 0
2560.23 0 0 0 0 0 0
2560.33 0 0 0 0 0 0
2560.43 0 0 0 0 0 0
2560.53 0 0 0 0 0 0
2560.63 0 0 0 0 0 0
2560.73 0 0 0 0 0 0
2560.83 0 0 0 0 0 0
2560.93 0 0 0 0 0 0
2561.03 0 0 0 0 0 0
2561.13 0 0 0 0 0 0
2561.23 0 0 0 0 0 0
2561.33 0 0 0 0 0 0
2561.43 0 0 0 0 0 0
2561.53 0 0 0 0 0 0
2561.63 0 0 0 0 0 0
2561.73 0 0 0 0 0 0
2561.83 0 0 0 0 0 0
2561.93 0 0 0 0 0 0
2562.03 0 0 0 0 0 0
2562.13 0 0 0 0 0 0
2562.23 0 0 0 0 0 0
2562.33 0 0 0 0 0 0
2562.43 0 0 0 0 0 0
2562.53 0 0 0 0 0 0
2562.63 0 0 0 0 0 0
2562.73 0 0 0 0 0 0
2562.83 0 0 0 0 0 0
2562.93 0 0 0 0 0 0
2563.03 0 0 0 0 0 0
2563.13 0 0 0 0 0 0
2563.23 0 0 0 0 0 0
2563.33 0 0 0 0 0 0
2563.43 0 0 0 0 0 0
2563.53 0 0 0 0 0 0
2563.63 0 0 0 0 0 0
2563.73 0 0 0 0 0 0
2563.83 0 0 0 0 0 0
2563.93 0 0 0 0 0 0
2564.03 0 0 0 0 0 0
2564.13 0 0 0 0 0 0
2564.23 0 0 0 0 0 0
2564.33 0 0 0 0 0 0
2564.43 0 0 0 0 0 0
2564.53 0 0 0 0 0 0
2564.63 0 0 0 0 0 0
2564.73 0 0 0 0 0 0
2564.83 0 0 0 0 0 0
2564.93 0 0 0 0 0 0
2565.03 0 0 0 0 0 0
2565.13 0 0 0 0 0 0
2565.23 0 0 0 0 0 0
2565.33 0 0 0 0 0 0
2565.43 0 0 0 0 0 0
2565.53 0 0 0 0 0 0
2565.63 0 0 0 0 0 0
2565.73 0 0 0 0 0 0
2565.83 0 0 0 0 0 0
2565.93 0 0 0 0 0 0
2566.03 0 0 0 0 0 0
2566.13 0 0 0 0 0 0
2566.23 0 0 0 0 0 0
2566.33 0 0 0 0 0 0
2566.43 0 0 0 0 0 0
2566.53 0 0 0 0 0 0
2566.63 0 0 0 0 0 0
2566.73 0 0 0 0 0 0
2566.83 0 0 0 0 0 0
2566.93 0 0 0 0 0 0
2567.03 0 0 0 0 0 0
2567.13 0 0 0 0 0 0
2567.23 0 0 0 0 0 0
2567.33 0 0 0 0 0 0
2567.43 0 0 0 0 0 0
2567.53 0 0 0 0 0 0
2567.63 0 0 0 0 0 0
2567.73 0 0 0 0 0 0
2567.83 0 0 0 0 0 0
2567.93 0 0 0 0 0 0
2568.03 0 0 0 0 0 0
2568.13 0 0 0 0 0 0
2568.23 0 0 0 0 0 0
2568.33 0 0 0 0 0 0
2568.43 0 0 0 0 0 0
2568.53 0 0 0 0 0 0
2568.63 0 0 0 0 0 0
2568.73 0 0 0 0 0 0
2568.83 0 0 0 0 0 0
